"FIRM","PRICE","ACCOUNT SIZE","PROFIT SPLIT","PROFIT TARGET","MAX. DAILY LOSS","MAX. TOTAL DRAWDOWN","COMMISION PER ROUND LOT (FOREX)","PROFIT TARGET TO DRAWDOWN RATIO","PAYOUT FREQUENCY","TRUST PILOT RATING","YEAR STABLISHED AND COUNTRY","LOYALTY POINTS","Name","Original Price","Discount Price","Account Size","Profit Split","Phase 1 Profit Target","Phase 2 Profit Target","Max Daily Loss","Max Total Drawdown","Daily Drawdown Reset Type","Drawdown Method","Minimun Trading Days","Maximun Trading Days","Stop-loss Required","Profit Target to Drawdown Ratio","Comissions (Forex)","Leverage","Refund Fee","Scaling","Expert Advisors (EAS) Allowed","Copy Trading","News Trading","Weekend Holding","Auto-close at Target","Drawdown Blocker","Payout Frequency","Max Allocation (without scaling)","Swap Free Accounts","Technology","Broker","Trading Platforms","Trust Pilot Rating","Established","Country","Loyalty Points"
"Audacity Capital","$459.00 $321.30 ","60K 2 steps","75%","1: 10% 2: 5%","Phase 1: 7.5%, Phase 2: 5% and Funded: 5%","Phase 1: 15%, Phase 2: 10% and Funded: 10%","$5/round lot","1: 0.83","First 30 days, then 14 Days","4.6","March 2012 United Kingdom","215","Audacity Capital - Ability Challenge - 2-Step 60K","$459.00","$321.30","60K","75%","10%","5%","Phase 1: 7.5%, Phase 2: 5% and Funded: 5%","Phase 1: 15%, Phase 2: 10% and Funded: 10%","Equity-based","Static","4 Days","Unlimited","No","1: 0.83","$5/round lot","Up to 100:1","*Yes, 100% but only on the Ability Challenge","Yes","Yes","MT5, (TradeLocker, Match Trader for US traders)","Allowed: Ability Challenge. Not allowed: Funded Trader Program.","Yes","No","No","First 30 days, then 14 Days","2M","Yes","In-House","Institutional Liquidity Providers","MT4, MT5","4.6","March 1, 2012","United Kingdom","215"
"AquaFunded","$157.00 $109.90 ","25K 3 steps","90% or 95%","1: 6% 2: 6% 3: 6%","4%","8%","$5","1: 0.44","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","188","AquaFunded - Ray Challenge - 3-Step Challenge - 3-Steps 25K","$157.00","$109.90","25K","90% or 95%","6%","6%","4%","8%","Equity-based","Static","0","Unlimited","No","1: 0.44","$5","Up to 100:1","100%","Yes","Yes","Buyers Rating","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","188"
"The 5%ers","$850.00 $807.50 ","20K Instant","75%","10% to double the funded account","3%","6%","$4/round lot","1: 0.6","14 Days","4.9","January 2016 Israel","888","The 5%ers - Hyper Growth Program - Instant 20K","$850.00","$807.50","20K","75%","10% to double the funded account"," ","3%","6%","*","Static","None","Unlimited","*Yes, Bootcamp Program only.","1: 0.6","$4/round lot","Up to 30:1","*Yes, 100% but only in the High Stake plans","Yes","Yes","Yes","Highstakes allowed with restriction: 2 minutes prior or after to high-impact news. Allowed for Hyper Growth, Bootcamp programs with no restriction","Yes","No","No","14 Days","40K","Yes","In-House","Commercial Liquidity Providers","MT5","4.9","January 1, 2016","Israel","888"
"E8 Markets","$1,188.00 $950.40 ","400K 3 steps","80%","1: 5% 2: 5% 3: 5%","5%","5%","$0 standard, $5/round lot of raw spreads","1: 0.33","Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts","4.6","November 2021 United States","523","E8 Markets - E8 Track 1:1 - 3-Steps 400K","$1,188.00","$950.40","400K","80%","5%","5%","5%","5%","Balance-based","Static","1Day","Unlimited","No","1: 0.33","$0 standard, $5/round lot of raw spreads","Up to 50:1","No","Yes","Yes","News Trading","Allowed: Evaluation accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","Payout on demand or 8 Days (First Payout then 14 Days Subsequent Payouts","400K","No","In-House","Virtual Markets","MT5(E8 Pro, E8 account, E8 Track) , Match Trader (US clients - Match Trader)","4.6","November 1, 2021","United States","523"
"Instant Funding","$870.00 $739.50 ","20K Instant","80%","x","None","10%","$7/round lot"," ","First 14 days, then 7 days","4.6","June 2022 United Kingdom","1220","Instant Funding - Instant Funding - Instant 20K","$870.00","$739.50","20K","80%"," "," ","None","10%","None","Smart","None","Unlimited","No","1:","$7/round lot","Up to 100:1","No","Yes","Yes","Highstakes allowed with restriction: 2 minutes prior or after to high-impact news. Allowed for Hyper Growth, Bootcamp programs with no restriction","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","No","First 14 days, then 7 days","200K","No","In-House"," ","cTrader, MT5, (DXTrade for US traders)","4.6","June 1, 2022","United Kingdom","1220"
"AquaFunded","$57.00 $39.90 ","5K 2 steps","90% or 95%","1: 8% 2: 5%","5%","8%","$5","1: 0.62","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","73","AquaFunded - Sea Horse Challenge - 2-Step Challenge - 2-Steps 5K","$57.00","$39.90","5K","90% or 95%","8%","5%","5%","8%","Equity-based","Static","3 Days","Unlimited","No","1: 0.62","$5","Up to 100:1","100%","Yes","Yes","Weekend Holding","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","73"
"Blueberry Funded","$40.00 $34.00 ","5K 1 step","80%","1: 10%","4%","6%","$7/round lot","1: 0.6","14 Days","3.8","August 2024 Saint Vincent and the Grenadines","56","Blueberry Funded - 1 Step Evaluation - 1-Step - 5K","$40.00","$34.00","5K","80%","10%"," ","4%","6%","Balance / Equity - Highest at EOD","Static","3 Days (0.5% of profit to be made)","Unlimited","No, see faqs for more information","1: 0.6","$7/round lot","Up to 1:30","*Yes, on rapid accounts","Yes","Yes","Yes","No","Yes","Yes","No","14 Days","400K","No","In-House","Blueberry Markets","MT4, MT5, DXTrade","3.8","August 7, 2024","Saint Vincent and the Grenadines","56"
"My Funded Futures","$265.00 $251.75 ","100K 1 step","90%","1: $8,000","None","$3,000"," ","1: 0.38","14 Days","4.5","November 2023 United States","332","My Funded Futures - Expert 100K - 1-Step - 100K","$265.00","$251.75","100K","90%","$8,000"," ","None","$3,000","No daily drawdown","Trailing","1 Day","Unlimited","No","1: 0.38"," ","Up to 10 Contracts","No","No","No","Auto-close at Target","No","No","No","No","14 Days","10 accounts/1.5M","No"," ","Tradovate, DXFeed","TradingView, Tradovate, Ninjatrader, DxFeed, Quantower, Volumetrica Trading, ATAS, Volsys, Volbook","4.5","November 1, 2023","United States","332"
"Elite Trader Funding","$175.00 $87.50 ","250K 1 step","90%","1: $15,000","None","$6,500"," ","1: 0.43","15 Days for 1st to 2nd payout, then every 10 Days","3.7","February 2022 United States","144","Elite Trader Funding - Fast Track Evaluation - 1-Step - 250K","$175.00","$87.50","250K","90%","$15,000"," ","None","$6,500","No daily drawdown","Intraday unrealized profit trailing drawdown","5 Days","14 Days","No","1: 0.43"," ","Up to 24 mini, 240 micros or 24 small","No","No","Yes","Yes","Yes","No","No","No","15 Days for 1st to 2nd payout, then every 10 Days","3 accounts","No"," ","Rithmic, Tradovate","NinjaTrader, TradingView, Tradovate, Rithmic, R | Trader, ATAS, Bookmap, EdgeProX, eSignal, Finamark, Investor/RY, Jigsawdaytradr, Jigsawdaytradr+, MotiveWave, MultiCharts , MultiCharts+, OptimusFlow, OverCharts, Quantower, Sierra Chart, TigerTrade, Trade Navigator, VolFix, Volumetrica","3.7","February 1, 2022","United States","144"
"Breakout","$450.00 $427.50 ","50K 2 steps","80%","1: 5% 2: 10%","5%","8%","$7/ $10,000","1: 0.53","1 day, and then every following day","4.9","November 2023 British Virgin Islands","705","Breakout Prop - Crypto - 2-Step Evaluation - 2-Steps 50K","$450.00","$427.50","50K","80%","5%","10%","5%","8%","Balance-based","Trailing","None","Unlimited","No","1: 0.53","$7/ $10,000","Up to 5:1","0%","Yes","No","Drawdown Blocker","Yes","Yes","No","No","1 day, and then every following day","200K","No","White-Label","Bybit","Proprietary trading terminal","4.9","November 1, 2023","British Virgin Islands","705"
"Maven","$15.00 $13.80 ","2K 1 step","80%","1: 8%","3%","5%","$4/round lot","1: 0.63","14 Days","4.6","November 2022 Canada","18","Maven - 1-Step Challenge - Standard - 1-Step 2K","$15.00","$13.80","2K","80%","8%"," ","3%","5%","Balance / Equity - Highest at EOD","Trailing","None","Unlimited","No","1: 0.63","$4/round lot","Up to 75:1","*Yes, 100% for standard account on 3rd payout","Yes","Yes","Yes","Allowed with restriction: 2 minutes before and after a red folder news","Yes","Yes","No","14 Days","200K","Yes","White-Label","Match Trade","cTrader, (Match Trader for US traders)","4.6","November 1, 2022","Canada","18"
"TradeDay","$750.00 $600.00 ","250K 1 step","90%","1: $12,000","None","$5,000","Visit Website FAQ","1: 0.42","1 Day","4.6","January 2020 United States","990","TradeDay - 250K Tier - 1-Step - 250K","$750.00","$600.00","250K","90%","$12,000"," ","None","$5,000","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 0.42","Visit Website FAQ","Up to 25 mini (50 micros)","No","Yes","No","Payout Frequency","Allowed with restriction: 2 minutes prior or after to high-impact news","No","No","No","1 Day","1 account","No"," ","CME, CBOT, NYMEX, and COMEX","Tradovate, NinjaTrader, TradingView, Jigsaw","4.6","January 1, 2020","United States","990"
"Apex Trader Funding","$147.00 $29.40 ","25K 1 step","90%","1: $1,500","None","$1,500","Visit Website FAQ","1: 1","14 Days","4.5","January 2021 United States","70","Apex Trader Funding - Rithmic/NinjaTrader Plan - 25K Full - 1-Step - 25K","$147.00","$29.40","25K","90%","$1,500"," ","None","$1,500","No daily drawdown","Trailing","7 Days","Unlimited","No","1: 1","Visit Website FAQ","Up to 4 (40 Micros)","No","No","No","14 Days","Allowed: Evaluation accounts. Not allowed: Funded accounts","No","No","No","14 Days","20 accounts","No"," ","Rithmic and Tradovate","NinjaTrader","4.5","January 1, 2021","United States","70"
"For Traders","$209.00 $175.56 ","25K 2 steps","80% + 15% from challenge phase","1: 8% 2: 5%","5%","10%","$5/round lot","1: 0.69","14 Days","4.2","July 2023 United Arab Emirates","290","For Traders - 2-Step Challenge - 2-Steps 25K","$209.00"," ","25K","80% + 15% from challenge phase","8%","5%","5%","10%","Balance-based","Static","3 Days","Unlimited","No","1: 0.69","$5/round lot","Up to 125:1","100%","Yes","No","Swap Free Accounts","Allowed: Evaluation accounts and Pro accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes","No","No","14 Days","300K","No","White-Label","Capital Markets","cTrader, TradeLocker, (DXTrade for US traders)","4.2","July 1, 2023","United Arab Emirates","290"
"Goat Funded Trader"," ","5K 2 steps","40%(payout on demand) or 80% (30days)","1: 10% 2: 5%","5%","10%","$7/round lot","1: 0.67","30 Days or Triple payday or Payout on Demand","4.1","May 2023 Spain","36","Goat Funded Trader - No Time Limit - 2-Steps 5K","$44.00"," ","5K","40%(payout on demand) or 80% (30days)","10%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","None","Unlimited","No","1: 0.67","$7/round lot","Up to 100:1","0%","Yes","Yes","Yes","Allowed: Swing accounts. Not allowed: No Time Limit, GOAT, and Instant accounts within 5 minutes before or after high-impact news","Yes","No","No","30 Days or Triple payday or Payout on Demand","800K (50k for Pakistan traders)","Yes","In-House","Liquidity Providers","Match Trader, TradeLocker","4.1","May 1, 2023","Spain","36"
"FXIFY","$249.00 $199.20 ","50K 3 steps","75%","1: 5% 2: 5% 3: 5%","5%","5%","$0","1: 0.33","First payout on-demand, 30 days then after","4.3","April 2023 United Kingdom","466","FXIFY - 3-Phase - 3-Steps 50K","$249.00","$199.20","50K","75%","5%","5%","5%","5%","Balance-based","Static","5 Days","Unlimited","No","1: 0.33","$0","Up to 30:1","100%","Yes","Yes","Technology","Yes","Yes","No","No","First payout on-demand, 30 days then after","800K","No","White-Label","FXPIG","MT4, MT5, (DXtrade for US traders)","4.3","April 1, 2023","United Kingdom","466"
"Finotive Funding","$45.00 $33.75 ","2.5K 1 step","75%","1: 10%","4%","7.50%","$4/round lot","1: 0.75","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","31","Finotive Funding - 1 Phase Challenge - 1-Step 2.5K","$45.00","$33.75","2.5K","75%","10%"," ","4%","7.50%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: 0.75","$4/round lot","Up to 100:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","In-House","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","31"
"Finotive Funding","$188.00 $141.00 ","2.5K Instant","60%","x","10%","16%","$4/round lot","1: *","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","130","Finotive Funding - Instant Agressive - Instant 2.5K","$188.00","$141.00","2.5K","60%"," "," ","10%","16%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: *","$4/round lot","Up to 100:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","Broker","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","130"
"Breakout","$110.00 $104.50 ","10K 1 step","80%","1: 10%","4%","6%","$7/ $10,000","1: 0.60","1 day, and then every following day","4.9","November 2023 British Virgin Islands","172","Breakout Prop - Crypto - 1-Step Evaluation - 1-Steps 10K","$110.00","$104.50","10K","80%","10%"," ","4%","6%","Balance-based","Static","None","Unlimited","No","1: 0.60","$7/ $10,000","Up to 5:1","0%","Yes","No","Commercial Liquidity Providers","Yes","Yes","Yes","No","1 day, and then every following day","200K","No","White-Label","Bybit","Proprietary trading terminal","4.9","November 1, 2023","British Virgin Islands","172"
"FundedNext","$229.00 $217.55 ","25K 1 step","60% + 15% from challenge phase","1: 25%","5%","10%","$3/round lot","1: 0.4","Monthly","4.5","March 2022 United Arab Emirates","131","FundedNext - Express Non-Consistency - 1-Step 25K","$229.00","$217.55","25K","60% + 15% from challenge phase","25%"," ","5%","10%","Balance-based","Static","10 Days","Unlimited","No","1: 0.4","$3/round lot","Up to 100:1","100%","Yes","Yes","Trading Platform(s)","Allowed: Stellar, Stellar Lite, and Evaluation accounts. Not allowed: Express accounts within 5 minutes before or after high-impact news.","Yes","No","No","Monthly","300K (50K for Pakistan, Combodia, Slovakia, Slovenia, Mongolia, Taiwan, Ukraine, Czech Republic)","Yes","In-House","FundedNext Ltd","MT4, MT5, cTrader","4.5","March 1, 2022","United Arab Emirates","131"
"Funding Traders","$300.00 $240.00 ","50K 2 steps","90%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.5","April 2023 United Arab Emirates","462","Funding Traders - 2-Step Evaluation - 2-Step 50K","$300.00","$240.00","50K","90%","10%","5%","5%","10%","Balance-based","Static","None","Unlimited","*No, but you can’t lose more than 2% on any single trade.","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","MT5","Yes","Yes","No","No","14 Days","2M","Yes","In-House","FUTRAD, Galaxy Path Capital","MT5, (DXtrade,TradeLocker for US traders)","4.5","April 1, 2023","United Arab Emirates","462"
"AquaFunded","$217.00 $151.90 ","25K 2 steps","90% or 95%","1: 8% 2: 5%","5%","8%","$5","1: 0.62","14 Days or 7 Days","4.4","December 2023 United Arab Emirates","252","AquaFunded - Ray Challenge - 2-Step Challenge - 2-Steps 25K","$217.00","$151.90","25K","90% or 95%","8%","5%","5%","8%","Equity-based","Static","3 Days","Unlimited","No","1: 0.62","$5","Up to 100:1","100%","Yes","Yes","Buyers Rating","Yes","Yes","No","No","14 Days or 7 Days","400k","No","White-Label","Triskel Capital","MT5, (TradeLocker, Match Trader for US Traders)","4.4","December 1, 2023","United Arab Emirates","252"
"Instant Funding","$219.00 $186.15 ","50K 3 steps","80%","1: 8% 2: 5% 3: 5%","5%","10%","$7/round lot","1: 0.56","First 14 days, then 7 days","4.6","June 2022 United Kingdom","307","Instant Funding - Static - Three-Phase - 3-Step 50K","$219.00","$186.15","50K","80%","8%","5%","5%","10%","Balance / Equity - Highest at EOD","Static","3 Days","Unlimited","No","1: 0.56","$7/round lot","Up to 100:1","No","Yes","Yes","Yes, allowing you to copy trade your personal account with another prop firm, retail broker, or any external/internal source to your account with us. Copying between accounts not owned by the same individual is not permitted","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","No","Yes","No","First 14 days, then 7 days","200K","No","In-House"," ","cTrader, MT5, (DXTrade for US traders)","4.6","June 1, 2022","United Kingdom","307"
"Funding Traders","$2,000.00 $1,600.00 ","350K 2 steps","90%","1: 10% 2: 5%","5%","10%","$3/round lot","1: 0.67","14 Days","4.5","April 2023 United Arab Emirates","3520","Funding Traders - 2-Step Evaluation - 2-Step 350K","$2,000.00","$1,600.00","350K","90%","10%","5%","5%","10%","Balance-based","Static","14 Days","Unlimited","*No, but you can’t lose more than 2% on any single trade.","1: 0.67","$3/round lot","Up to 100:1","100%","Yes","Yes","News Trading","Yes","Yes","No","No","14 Days","2M","Yes","In-House","FUTRAD, Galaxy Path Capital","MT5, (DXtrade,TradeLocker for US traders)","4.5","April 1, 2023","United Arab Emirates","3520"
"Finotive Funding","$849.00 $636.75 ","200K 2 steps","75%","1: 7.50% 2: 5%","5%","10%","$4/round lot","1: 0.8","Payout on demand, then every 7 Days","3.8","April 2021 Cyprus","588","Finotive Funding - 2 Phase Challenge - 2-Step 200K","$849.00","$636.75","200K","75%","7.50%","5%","5%","10%","Balance-based","Static","None","Unlimited","Yes (Instant accounts only)","1: 0.8","$4/round lot","Up to 400:1","Yes, for Challenge & Pro accounts only (on your 30th day of achieving funded status)","Yes","Yes","Allowed: Evaluation and Swing accounts. Not allowed: Funded accounts within 5 minutes before or after high-impact news.","Yes, News Straddling is Prohibited","Yes","No","No","Payout on demand, then every 7 Days","1.4M","Yes","In-House","Finotive Markets LLC","MT5","3.8","April 23, 2021","Hungary","588"
